,intitule,rome,score,X1,X2,cluster
266,Pilotage d'installation énergétique et pétrochimique,H2701,,15.618196273094098,-50.4973251913512,75
267,Conduite d'équipement de transformation du verre,H2801,,-8.51355893409853,-54.417309044805094,76
268,Conduite d'installation de production de matériaux de construction,H2802,,-8.62569192318364,-55.623163919005606,76
269,Façonnage et émaillage en industrie céramique,H2803,,-48.5336643424797,-49.1268487398038,11
270,"Pilotage de centrale à béton prêt à l'emploi, ciment, enrobés et granulats",H2804,,16.6243603556898,-51.5586999294843,75
271,Pilotage d'installation de production verrière,H2805,,15.1970696065994,-50.053065301714,75
272,Ajustement et montage de fabrication,H2901,,-0.20249877521904996,-49.0781269149928,66
273,Chaudronnerie - tôlerie,H2902,,2.21219516534435,-52.8507816938426,77
274,Conduite d'équipement d'usinage,H2903,,0.6239489607744879,-49.9167220329396,66
275,Conduite d'équipement de déformation des métaux,H2904,,-8.27939972337465,-51.6117197106203,76
276,Conduite d'équipement de formage et découpage des matériaux,H2905,,-8.031378420877001,-40.4515540471065,74
277,Conduite d'installation automatisée ou robotisée de fabrication mécanique,H2906,,-4.420504810065769,-38.3802859736008,74
278,Conduite d'installation de production des métaux,H2907,,4.26604072221923,-56.4654125102813,77
279,Modelage de matériaux non métalliques,H2908,,-51.6169796381942,-33.5796233063024,51
280,Montage-assemblage mécanique,H2909,,-5.4408277542353405,-39.3521002934439,74
281,Moulage sable,H2910,,3.5849900108127404,-55.2192737381414,77
282,Réalisation de structures métalliques,H2911,,2.2158612741294,-52.1676839277488,77
283,Réglage d'équipement de production industrielle,H2912,,9.53256672595209,-46.335724219378,78
284,Soudage manuel,H2913,,3.52264061792871,-52.544367362687105,77
285,Réalisation et montage en tuyauterie,H2914,,2.585194056657,-54.3573837852079,77
286,Conduite d'équipement de fabrication de papier ou de carton,H3101,,3.70951638024727,-70.81202833943459,71
287,Conduite d'installation de pâte à papier,H3102,,3.2924905216665095,-70.73656441575721,71
288,Conduite d'équipement de formage des plastiques et caoutchoucs,H3201,,-11.3757137739356,-62.464870190058605,45
289,Réglage d'équipement de formage des plastiques et caoutchoucs,H3202,,-9.41808397297222,-57.31897455567161,76
290,Fabrication de pièces en matériaux composites,H3203,,-51.032591188928606,-32.711518096416505,51
291,Conduite d'équipement de conditionnement,H3301,,-23.7622636524613,-19.5609147446298,33
292,"Opérations manuelles d'assemblage, tri ou emballage",H3302,,-24.7019506353817,-17.262377094321998,33
293,"Préparation de matières et produits industriels (broyage, mélange, ...)",H3303,,-20.929470628129398,-55.0063736858964,61
294,Conduite de traitement d'abrasion de surface,H3401,,-8.22555223951796,-39.7662067162236,74
295,Conduite de traitement par dépôt de surface,H3402,,-6.050793286268799,-41.5719886229143,74
296,Conduite de traitement thermique,H3403,,-8.97000391828252,-51.22646505111629,76
297,Peinture industrielle,H3404,,-9.997918259856949,-40.450638350602,74
298,Direction et ingénierie en entretien infrastructure et bâti,I1101,,41.2794836536467,15.144802159887302,26
299,Management et ingénierie de maintenance industrielle,I1102,,26.610916290472698,-9.97615338709818,64
300,Supervision d'entretien et gestion de véhicules,I1103,,6.0841394720189,9.73365763135788,27
301,Entretien d'affichage et mobilier urbain,I1201,,-61.256513549438104,-1.7649778928500501,79
302,Entretien et surveillance du tracé routier,I1202,,-63.303621402465296,-3.0832437654813303,79
303,Maintenance des bâtiments et des locaux,I1203,,-51.7362462636064,-27.487420544339102,50
304,Installation et maintenance d'ascenseurs,I1301,,1.00234293660941,-31.9317688109549,13
305,Installation et maintenance d'automatismes,I1302,,14.044619445341999,-21.3761856533847,62
306,Installation et maintenance de distributeurs automatiques,I1303,,-2.64935522340337,-39.7656661574126,74
307,Installation et maintenance d'équipements industriels et d'exploitation,I1304,,8.191855869404861,-36.8893327166098,80
308,Installation et maintenance électronique,I1305,,5.8455830037624406,-36.6848596308594,80
309,"Installation et maintenance en froid, conditionnement d'air",I1306,,10.4893748714676,-47.251634859400994,78
310,Installation et maintenance télécoms et courants faibles,I1307,,2.25712918759307,-37.7933718766877,80
311,Maintenance d'installation de chauffage,I1308,,10.849394749569399,-47.62659131380529,78
312,Maintenance électrique,I1309,,7.723276550475861,-36.0756477400174,80
313,Maintenance mécanique industrielle,I1310,,-1.08541177421016,-48.669252945576496,66
314,Maintenance informatique et bureautique,I1401,,3.94896449408727,-38.040600493616,80
315,Réparation de biens électrodomestiques,I1402,,6.89074381875486,-36.079395449262,80
316,Intervention en grande hauteur,I1501,,-61.2345711812746,-4.443642578284059,79
317,Intervention en milieu subaquatique,I1502,,0.8849261441780799,5.563714003586661,47
